name;title;purchase_date
Alan Beach;Little League World Series Baseball 2008;1999-05-11
Jael Farrell;Warhammer: End Times - Vermintide;1995-05-22
Reed Poole;Back in 1995;2006-08-13
Nelle Meadows;Micro Machines V4;2005-05-16
Samson Gibson;Republique: Episode 1 - Exordium;1992-12-21
Maisie Conner;Lemony Snicket's A Series of Unfortunate Events;2012-11-30
Raja Mcdowell;Gunvolt Chronicles: Luminous Avenger iX;1958-05-22
Axel Wood;UFO: Extraterrestrials;1991-12-01
Stella Harris;Spider-Man: Battle for New York;1900-11-09
Hector Stark;L.A. Noire;1935-04-23
Ferris Willis;Sebastien Loeb Rally Evo;1995-12-26
Carly Owen;Shakedown Hawaii;1918-06-26
Sybill Hampton;Throne of Darkness;2004-06-08
Wesley Ayala;Metroid Prime Pinball;1901-06-27
Jael Farrell;SpongeBob SquarePants: Battle for Bikini Bottom;1900-11-28
Brooke Manning;Left 4 Dead;1927-09-19
Xavier Dunn;Dance Dance Revolution: Disney Channel Edition;2006-06-01
Maisie Ballard;Magrunner: Dark Pulse;1945-01-30
Reese Wilcox;Tiger Woods PGA Tour 2002;1948-07-28
Montana Tillman;Sid Meier's Civilization VI: Gathering Storm;1903-05-19
Imani Romero;Disneyland Adventures;1917-11-23
Keefe Morin;Star Trek: Voyager Elite Force;1919-12-07
Jessica Hudson;Killer Instinct Season 3;1999-09-18
Ryder Wood;Tales of Berseria;1903-08-19
Elliott Wilder;Rogue Stormers;1938-04-09
Otto Roach;Warborn;1939-02-26
Allistair Lynn;The Bridge;1952-02-17
Anastasia Caldwell;Skylanders Giants;2007-03-26
Olivia Burris;Magicka: Vietnam;1915-12-10
Sierra Guerra;State of Emergency 2;1913-03-17
Jessica Hudson;The Amazing Spider-Man 2;2004-09-13
Jessamine Ruiz;SnoCross Championship Racing;1962-06-10
Callum Stevenson;Dynasty Warriors 5: Xtreme Legends;2022-02-01
Lucius Parrish;Far Cry 4;1928-02-08
Faith Bray;MotorStorm RC;1969-07-06
Akeem Vang;NHL 2003;1918-02-03
Lawrence Curry;Outlaw Tennis;1959-06-27
Jeremy Webster;Galactic Civilizations;2005-10-07
Harper Sullivan;Warhammer 40,000: Mechanicus;1936-10-27
Desiree Lindsay;Tom Clancy's Ghost Recon: Wildlands;1967-01-30
Caleb Bray;Ticket to Ride;2019-06-08
Lunea Chen;SWAT: Global Strike Team;1910-04-06
Lavinia Finch;Sniper Ghost Warrior Contracts;2018-03-03
Ivana Morgan;Yakuza 3 Remastered;2012-06-21
Ifeoma Bailey;Naruto Shippuden: Legends: Akatsuki Rising;2018-08-23
Walter Nolan;Judge Dredd: Dredd VS Death;1944-03-15
Ulysses Lott;Conan Unconquered;1918-02-19
Danielle Campbell;Need for Speed: Most Wanted - A Criterion Game;1998-03-11
Reuben Jennings;The History Channel: Great Battles of Rome;1942-11-22
Keane White;Mega Man Battle Network 5: Double Team;1993-03-02
Jolie Baxter;Art of Fighting Anthology;1910-08-18
Teagan Combs;NCAA Final Four 2003;1927-05-15
Addison Valdez;Unlimited Saga;1936-03-28
Finn Barrera;Arc the Lad Collection;1908-05-17
Craig Mccarthy;Elegy for a Dead World;2004-09-19
Cameran Cain;Darkwood;1989-07-15
Yoshi Buckley;Children of Morta;1971-03-31
Elliott Terry;Monopoly;1941-06-11
Abel Allison;Dragon Ball Z Budokai HD Collection;2004-07-26
Giselle Bullock;Snipperclips - Cut it out, together!;1900-09-15
Jillian Ellis;F1 2011;1964-04-25
Cyrus Flynn;UFC: Sudden Impact;1900-08-13
Jena Mclaughlin;Tetris Ultimate;1933-05-06
Jescie Kirkland;Hummer Badlands;1925-11-27
Demetria Webster;In Other Waters;1952-10-01
Branden Haney;Penumbra: Overture;1911-09-15
Jeremy Webster;Painkiller: Redemption;1969-01-19
Lee Bishop;Tom Clancy's Ghost Recon Advanced Warfighter 2;1940-11-23
Jael Farrell;Thrillville;1972-03-26
Alan Cox;DOOM;2005-01-31
Samantha Landry;Dark Void Zero;1952-08-02
Basil Beach;Black Stone: Magic & Steel;1973-12-27
Walter Nolan;Defector;1958-10-27
Branden Collins;Space Invaders Revolution;2013-06-16
Jamal Shepherd;Assassin's Creed Odyssey;1951-04-18
Rhiannon Lyons;Reservoir Dogs: Bloody Days;1996-02-03
Brenden Battle;Britney's Dance Beat;1946-04-29
Jesse Schmidt;Dance Central 2;1965-03-30
Jael Farrell;Zombie Vikings;1976-12-28
Rama Stuart;NAIRI: Tower of Shirin;1980-03-14
Demetria Webster;Afro Samurai;1947-01-25
Henry Osborne;Command & Conquer 3: Kane's Wrath;1900-01-03
Wesley Ayala;Super Swing Golf Season 2;1904-01-12
Amelia Irwin;Pac-Man World 2;1972-02-07
Alfreda Melton;Yes, Your Grace;1997-08-28
Lana Hudson;The Orange Box;1964-07-11
Genevieve Leon;EyeToy: Kinetic;1995-07-12
Vanna Phillips;Castle Crashers;1902-05-31
Thor Vega;Beyond Good & Evil;1982-04-16
Wilma Allison;UEFA Euro 2012;1904-11-24
Hannah Wynn;Assassin's Creed Rogue Remastered;1942-08-08
Zeus Mcmillan;Duke Nukem 3D: 20th Anniversary World Tour;1953-05-04
Zeus Mcmillan;Felix the Reaper;1921-09-25
Eric Bond;The Great Escape;1932-06-30
Orson Weaver;Warriors Orochi 3 Ultimate;1965-10-31
Colt Horn;Citizens of Earth;2017-04-25
Skyler Hobbs;The Denpa Men 2: Beyond the Waves;1994-09-28
Aimee Hopper;Madden NFL 2005;1974-01-10
Quemby Case;Resident Evil 0: HD Remaster;2004-11-27
Brenden Maddox;Virtua Fighter 4;1987-07-13
Ariana Stout;Unravel Two;1918-08-30
Ulysses Lott;Medal of Honor: Vanguard;1912-07-20
Harriet Bush;Nickelodeon Kart Racers 2: Grand Prix;1994-04-24
Hu Huff;Touch Detective;1941-03-20
Rylee Lloyd;Ace Combat: Assault Horizon Legacy+;1948-12-07
Jeanette Hodge;NASCAR 09;1953-04-30
Leslie Nicholson;Namco Museum 50th Anniversary;1915-09-24
Benedict Blair;Tornado Outbreak;1972-01-09
Lee Snow;Midway's Greatest Arcade Hits;2007-06-29
Paloma Miranda;Forsaken 64;1970-11-29
Simon Wilcox;ZHEROS;1968-10-22
Nita Abbott;Novastrike;1928-11-18
Lavinia Finch;The Book of Unwritten Tales: Critter Chronicles;1902-02-03
Desiree Heath;Sonic & Sega All-Stars Racing;1920-09-22
John Wall;Rock of Ages 3: Make & Break;1974-08-13
Stephen Mosley;Teen Titans;1951-05-05
Lucian Anderson;Little Inferno;2008-01-07
Raphael Puckett;Papo & Yo;1990-06-14
Brendan Vaughan;Foul Play;2014-03-04
Vanna Phillips;World Soccer Winning Eleven 8 International;1975-11-29
Lee Dunlap;Rush;1954-05-21
Cleo Kidd;Atelier Iris 3: Grand Phantasm;1956-05-13
Cassady Merritt;Pinball Hall of Fame: The Williams Collection;1997-08-10
Clementine Singleton;Warriors Orochi 3 Ultimate;2004-10-17
Adam Cabrera;Sonic Forces;2013-01-17
Vaughan Howe;F1 2013;2022-09-08
Ivor Chambers;MXGP: The Official Motocross Videogame;1907-03-09
Hammett Mcguire;Summer in Mara;1941-11-26
Leslie Nicholson;Alien Rage;1931-02-13
Jessamine Ruiz;Dead Space: Extraction;1906-09-20
Alan Cox;Medal of Honor: Warfighter;1959-08-04
Blaze Shelton;Tim Burton's The Nightmare Before Christmas: Oogie's Revenge;1967-10-08
Shad Ayala;Gravity Rush;2021-02-25
Asher Burton;Super Street Fighter IV: Arcade Edition;2021-03-20
Isaiah Harding;Naruto Shippuden: Ultimate Ninja Storm 2;1977-03-04
Kitra Knox;Mighty Switch Force!;1999-02-15
Callum Barron;Crash Bandicoot N. Sane Trilogy;1957-03-26
Brooke Manning;Ninja Gaiden Sigma 2 Plus;1916-09-12
Dorian Gaines;Rugby 20;1978-12-17
Mara Juarez;Borderlands 2: Mr. Torgue's Campaign of Carnage;1977-03-20
Kathleen Puckett;Ibb & Obb;1965-04-21
Daphne Meyer;Hitman 2: Silent Assassin;2019-01-25
Desiree Heath;The Wolf Among Us: Episode 1 - Faith;1913-05-10
Lara Strong;Costume Quest 2;1959-04-12
Karly Kent;Mortal Kombat: Armageddon;1941-05-21
Amaya Richardson;.hack//G.U. vol. 1//Rebirth;1942-08-26
Dorian Gaines;Dead State;1978-03-06
Hakeem Walls;Puppeteer;1921-09-06
Connor Christian;MechAssault 2: Lone Wolf;1908-12-13
Graiden Garrison;Tomb Raider: Legend;1997-06-26
Stone Witt;Resident Evil 0: HD Remaster;2019-03-30
Jonas Whitfield;Tiger Woods PGA Tour 08;1910-10-29
Rafael Stein;Monster Rancher 4;1919-03-18
Cyrus Dickerson;Sublevel Zero Redux;1965-04-26
Aurelia Stephenson;Eragon;1992-06-26
Ronan Foreman;Watch Dogs: Legion;1923-06-26
Clementine Singleton;Hohokum;1963-08-03
Lars Barron;Space Bust-A-Move;1969-03-25
Neville Baxter;King Arthur;1936-07-05
Bert Cantrell;Mass Effect 2: Lair of the Shadow Broker;1954-07-16
Wylie Franco;Band Hero;1929-02-28
Blaze Shelton;God Mode;1999-02-13
Colt Horn;Cars 2: The Video Game;1989-07-13
Faith Bray;Disney Sports Soccer;2017-01-13
Joseph Reilly;Hand of Fate;1999-08-12
Hedda Cooke;Time Pilot;2006-08-05
Raphael Puckett;Galaxy Champions TV;2012-08-20
Hammett Mcguire;F1 2009;1961-12-22
Aurelia Stephenson;Deponia;1961-02-18
Thor Meadows;Sonic & Sega All-Stars Racing;1980-03-24
Oscar Donovan;Crucible;2008-07-26
Mara Juarez;Ary and the Secret of Seasons;1919-06-01
Samantha Weaver;Forza Horizon 2 Presents Fast & Furious;1981-10-23
Bree Banks;Giana Sisters: Twisted Dreams;2003-02-16
Maia Cantu;Body and Brain Connection;2002-07-22
Chadwick Daniel;Jump Force: Deluxe Edition;1992-01-19
Lilah Campos;I Heart Geeks!;2005-02-26
Upton Marks;Project Warlock;1977-04-10
Alyssa Stein;Puddle;1953-09-30
Gareth Edwards;Wii Sports;2014-04-04
Ezekiel Rowe;Ancient Amuletor;1951-12-10
Yuri Kinney;Dance Dance Revolution;1962-05-07
Raja Mcdowell;Sonic the Hedgehog 2;1962-07-21
Cameron Johnson;Harvest Moon: Magical Melody;1925-07-10
Ora Figueroa;Top Spin;2008-12-23
Azalia Mckenzie;Papo & Yo;1918-02-13
Kirsten Bender;Mercury Meltdown Revolution;1971-07-05
Chadwick Watkins;King's Quest Chapter 1: A Knight to Remember;1994-01-18
Veda Melton;Submerged;1907-10-30
Jeremy Webster;Dead by Daylight;1903-01-11
Howard Baird;Dead Space;1978-03-19
Kamal Talley;One Line Coloring;2010-05-15
Felix Mitchell;Metal Arms: Glitch in the System;1959-09-11
Dexter Downs;GT Advance 2: Rally Racing;1920-03-26
Simon Holland;Dash of Destruction;1908-04-11
Cyrus Flynn;Enslaved: Odyssey to the West;1961-03-06
Cameran Cain;Quadrilateral Cowboy;1922-07-20
Bree Banks;Sega Bass Fishing;1937-09-25
Ronan Chase;Battleborn;1992-07-08
Nyssa Weeks;Stretchmo;2006-10-04
Walter Nolan;Indivisible;1969-03-07
Shaine Parsons;Flushed Away;1933-03-25
Kirsten Bender;The Walking Dead: The Telltale Series - A New Frontier Episode 3: Above the Law;1902-09-10
Jescie Kirkland;NASCAR Heat 5;1935-04-07
Walter Nolan;Rad;2001-08-12
Rylee Lloyd;Soldier of Fortune II: Double Helix;2010-11-30
Mason Miranda;Hegemonia: Legions of Iron;1918-01-14
Zena Bright;Musashi: Samurai Legend;1988-08-19
Lacey Smith;SpellForce 3;1929-06-01
Demetrius Vang;I Am Setsuna;2007-03-31
Ora Figueroa;Raiden III;1939-03-25
Reese Wilcox;Metro: Last Light;1938-12-15
Brenden Battle;Iron Harvest;1946-10-03
Benedict Blair;SteamWorld Dig;1917-05-25
Kessie Garza;Virtua Fighter 5 Final Showdown;1989-12-28
Kirsten Bender;FIFA 06: Road to FIFA World Cup;1911-12-05
Faith Richard;Gotham City Impostors;1980-12-09
Veda Melton;Divinity: Original Sin II - Definitive Edition;1957-04-19
Ora Figueroa;V-Rally 3;1989-04-24
Benedict Barrett;FIFA 14;1963-11-01
Felix Parker;Guacamelee! Super Turbo Championship Edition;1969-09-04
Cooper Benjamin;Enemy Front;1972-10-05
Rafael Odom;Final Fantasy XV: Episode Prompto;1962-08-26
Amaya Richardson;Donkey Kong 64;1988-07-24
John Wall;Ironclad Tactics;1993-09-27
Sean Collins;The Dungeon of Naheulbeuk: The Amulet of Chaos;1942-06-02
Amaya Richardson;Tony Hawk's Pro Skater 3;1958-12-12
Cyrus Flynn;Surgeon Simulator 2;1925-07-23
Carlos Rose;Polarium;1949-06-13
Jared Gibson;Gothic 3: Forsaken Gods;1984-11-04
Yvonne Wells;Dead Space 2: Severed;1915-11-28
Desiree Heath;RAGE;1969-11-20
Scott Mercer;Brute Force;1921-08-11
Yael Livingston;Mana Khemia: Student Alliance;2011-02-02
Kirsten Bender;Fantastic 4;1909-11-17
Isadora Collier;Exit the Gungeon;1904-05-14
Alfonso Faulkner;Gun;2022-08-25
Danielle Campbell;Chariot;1986-11-25
Hu Mason;Dragon Ball: Raging Blast 2;1930-02-11
Orson Weaver;Darkest of Days;1982-02-05
Yuli Gibson;Tony Hawk's Pro Skater 1 + 2;1989-11-13
Lamar Mercado;Proteus;1930-05-12
Demetrius Vang;Outlast 2;1913-09-22
Desiree Lindsay;Freaky Flyers;1984-05-04
Colleen Mcintyre;WWE SmackDown vs. Raw 2008;1935-03-12
Benedict Blair;Moon Diver;1948-07-03
Honorato Olsen;ZEN Pinball 2: Aliens Vs. Pinball;1911-03-21
Boris Galloway;Mat Hoffman's Pro BMX 2;1948-04-29
Chadwick Watkins;Scooby Doo!  Who's Watching Who?;1929-01-19
Tyrone Sharp;WARTILE;1978-09-11
Elmo Key;Sam & Max Episode 101: Culture Shock;1941-03-08
Benedict Barrett;Assassin's Creed III;2019-12-17
Azalia Mckenzie;Under Night In-Birth Exe:Late;1941-05-02
Ifeoma Bailey;The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two;1996-09-27
Leonard Sellers;Assassin's Creed: Altair's Chronicles;1916-09-27
Chadwick Watkins;Disgaea 1 Complete;1944-03-24
Lavinia Finch;Gears of War 4;1930-09-02
Thor Cooke;Nintendo Labo: Toycon 03 Vehicle Kit;2014-03-31
Ivan O'Neill;The Lord of the Rings: The Fellowship of the Ring;1920-02-17
Branden Collins;Mortal Kombat 11;2006-04-23
Deirdre Castaneda;Stolen;2018-11-06
Stacey Hubbard;Wolfenstein II: The New Colossus;1940-09-27
Kimberly Michael;Burnout Crash!;2019-08-11
Barry Allen;Driver 2;1929-09-16
Harriet Bush;Counter-Strike: Condition Zero;1976-02-18
Sierra Guerra;High Heat Major League Baseball 2004;1990-03-16
Honorato Olsen;Bury me, my Love;1912-04-10
Melinda Mills;Steep;1926-05-09
Colleen Mcintyre;Destiny: The Dark Below;1914-08-25
Deirdre Benson;The Book of Unwritten Tales: Critter Chronicles;1981-07-31
Dennis Lloyd;Top Gun: Combat Zones;1941-11-11
Inez Mcneil;Reservoir Dogs;1950-06-04
Ivor Chambers;Payday 2;1968-03-14
Teagan Combs;Devastation;1992-01-07
Kylynn Knight;FIFA Soccer 2002;1904-06-10
Cathleen Lewis;Cat Girl Without Salad: Amuse-Bouche;2005-01-21
Jael Farrell;The 2D Adventures of Rotating Octopus Character;1990-03-17
Ocean Campbell;Bone: Out From Boneville;1949-01-30
Candice Jimenez;NFL Blitz 20-03;1907-10-21
Ulysses Lott;Gunpoint;1948-05-22
Aline Kim;The Legendary Starfy;1983-04-22
Lunea Byers;NASCAR Heat Evolution;1924-05-28
Oscar Donovan;LEGO Marvel Super Heroes;1919-08-16
Portia Mcmillan;BattleTech;1907-06-21
Vanna Morgan;Nom Nom Galaxy;1911-08-01
Guinevere Flynn;Evasive Space;1931-01-08
Brooke Wallace;Gears of War: Ultimate Edition for Windows 10;1979-07-20
Faith Bray;Peter Jackson's King Kong: The Official Game of the Movie;1906-11-19
Isaiah Harding;DanceMasters;1985-01-01
Demetria Mooney;Tekken Hybrid;1936-03-05
Griffin Whitney;Max: The Curse of Brotherhood;1920-02-18
Asher Burton;Gunman Clive HD Collection;1955-01-06
Avram Callahan;Guitar Hero: Metallica;1940-09-03
Graiden Garrison;Back to the Future: The Game;1972-06-08
Penelope Bolton;Super Street Fighter IV;2002-06-24
Ruth Workman;The Almost Gone;2010-06-27
Priscilla Hamilton;Yu-Gi-Oh! Dungeon Dice Monsters;1986-08-27
Raphael Meyers;Arkadian Warriors;1964-04-26
Hiroko Brock;Soldier of Fortune: Gold Edition;1988-07-08
Benedict Blair;Asphalt: Urban GT;1910-10-28
Dorian Gaines;Rockstar Games presents Table Tennis;2011-04-24
Vanna Morgan;Call of Duty: Ghosts - Onslaught;1965-01-24
Samantha Weaver;Senran Kagura: Estival Versus;1933-10-29
Barclay Terrell;Quantum Conundrum;1998-05-23
Benedict Barrett;Dexter's Laboratory: Deesaster Strikes!;1926-05-31
Denton Holmes;World of Goo;1957-09-21
Orson Vincent;Fall Guys: Ultimate Knockout;1925-06-06
Ariel Moran;Red Faction II;1902-09-22
Amaya Richardson;Back to the Future: The Game;1979-11-29
Amity Ortega;Okamiden;1996-01-29
Melissa Lopez;Tao Feng: Fist of the Lotus;1973-09-02
Yvonne Wells;Sokobond;1945-01-27
Vaughan Howe;Risen;1915-08-17
Alyssa Stein;Pinball Hall of Fame - The Gottlieb Collection;1993-11-04
Ruth Workman;Resident Evil 5;1955-03-09
Pearl Bishop;Ninja Gaiden 3: Razor's Edge;1961-03-17
Abra Hampton;The Elder Scrolls V: Skyrim Special Edition;2020-12-26
Brett Vinson;Victor Vran;1948-06-17
Britanney Hardin;Assassin's Creed: Revelations;1937-01-21
Denise Johnson;Guitar Hero: Aerosmith;1973-01-09
Brett Vinson;GTR Evolution;2019-06-08
Odessa Travis;Mafia II;1989-06-14
Raja Mcdowell;Assassin's Creed III - The Infamy;1975-09-24
Rafael Odom;StarDrone;2002-08-05
Denise Johnson;Hot Shots Golf: Out of Bounds;1926-03-29
Abbot Potts;FIFA Soccer 12;1903-06-03
Alyssa Stein;Transformers Prime: The Game;1967-02-04
Cruz Doyle;Monkey King: Hero is Back;1967-09-21
Amaya Richardson;Street Fighter III: Third Strike Online Edition;1955-05-04
Garrett Gilmore;FIFA Soccer 2004;1906-08-17
Karly Kent;Mafia III;1946-04-30
Shad Ayala;The Simpsons Game;1913-11-09
Imani Romero;Bodycount;2015-03-05
Lunea Chen;One Piece: Burning Blood;1967-12-27
Elliott Wilder;WWE WrestleMania X8;1947-11-09
Phyllis Valenzuela;Steel Empire;1939-11-24
Chadwick Watkins;Tiger Woods PGA Tour 2004;1937-03-11
Odessa Travis;Fallen Legion: Sins of an Empire;1915-10-22
Odessa Travis;Deliver Us The Moon;1992-12-21
Castor Anderson;Stuntman Ignition;1979-09-15
Luke Strickland;The Council - Episode 3: Ripples;1968-11-14
Fitzgerald Berg;Call of Duty: Black Ops - Escalation;2020-08-17
Lee Bishop;NASCAR Thunder 2003;1954-07-24
Eaton Higgins;Tank Universal: Challenger Eight;1983-03-18
Vanna Morgan;Katana ZERO;1990-12-06
Chadwick Daniel;Huntdown;1908-01-05
Neve Hinton;Supreme Commander: Forged Alliance;1969-02-16
Adrienne Burnett;Knockout Kings 2002;1946-07-02
Ursa Martin;Candleman: The Complete Journey;1964-09-16
Ross Short;Children of Morta;2000-09-11
Scarlet Farmer;FIFA 18;1986-01-20
Jessica Hudson;GoldenEye 007;1918-03-20
Boris Dominguez;Rayman 2: The Great Escape;2012-07-06
Emily Price;Call of Cthulhu: The Official Video Game;1957-11-06
Elmo Key;Ironcast;1933-10-31
Boris Galloway;Disney Sports Soccer;1947-04-11
Britanney Hardin;Hatsune Miku: Project Mirai DX;1996-06-25
Jackson Maddox;The Banner Saga;1943-01-12
Maisie Ballard;Medal of Honor: European Assault;1953-11-17
Penelope Bolton;WWE SmackDown vs. Raw 2007;2009-12-26
Desiree Heath;Sonic Generations;1950-01-25
Kermit Knapp;Blade & Soul;1948-08-15
Charity Sutton;FlatOut;2022-09-28
Ross Short;Intruders: Hide and Seek;1953-01-27
Lilah Campos;Unruly Heroes;1951-11-30
Tyrone Sharp;Eragon;2016-09-09
Devin Valentine;Transformers: Devastation;1943-12-17
Kessie Garza;State of Decay;2006-01-03
Velma Stuart;God of War III;1971-08-21
Simon Holland;Call of Duty: Black Ops II - Revolution;1904-10-08
Olivia Rocha;Wolfenstein II: The New Colossus;1911-10-11
Eric Bond;Rock of Ages;1932-09-26
Stone England;Ar tonelico: Melody of Elemia;2012-06-29
Dustin Francis;Warriors Orochi 4;1923-06-23
Giselle Bullock;Football Manager 2011;2016-01-09
Demetria Mooney;PONCHO;1988-10-22
Abel Downs;MotoGP 10/11;1993-12-15
Ulysses Lott;Disney*Pixar WALL-E;2010-12-27
Emerson Jackson;Dusk Diver;1969-11-28
Deirdre Castaneda;Zathura;1900-09-16
Ulysses Lott;Wipeout 2048;1929-05-26
Pandora Bullock;What Did I Do to Deserve This, My Lord!?;1912-05-25
Brennan Black;Space Hack;2000-03-06
Yuli Gibson;The Golden Horde;1941-01-31
Yvonne Wells;JumpJet Rex;1981-10-19
Stone Witt;Battletoads;1957-04-05
Elliott Wilder;Chariot;1922-11-15
Karen Small;Metal Gear Survive;2009-06-18
Jael Farrell;LittleBigPlanet Karting;1917-05-27
Demetria Mooney;Super Cane Magic ZERO;1991-11-19
Shaine Parsons;Urban Reign;2001-03-15
Tatyana Johnson;Malicious Fallen;1956-08-30
Halee Jacobson;The SpongeBob SquarePants Movie;1927-02-24
Lamar Mercado;Ratchet & Clank: All 4 One;1952-03-29
Gloria Haney;Jade Empire;1952-06-09
Eaton Higgins;Sanctum 2;1950-02-02
Clementine Singleton;Symphony;1943-01-01
Rose Hartman;The Movies: Stunts & Effects;1988-01-24
Ivor Chambers;Empyre: Lords of the Sea Gates;2022-11-29
Simon Holland;Hellblade: Senua's Sacrifice;1945-11-09
Jasper Woodard;NHL Hitz Pro;1970-09-23
Colt Horn;Sonic Chronicles: The Dark Brotherhood;1900-07-29
Winter Hampton;NHL 2005;1951-03-21
Jessamine O'brien;Disney/Pixar Ratatouille;2001-08-22
Abra Hampton;Constantine;1984-08-07
Lars Barron;Saints Row 2;1960-06-23
Lawrence Curry;Dropsy;1903-11-25
Erica Holden;Xevious;2010-06-01
Priscilla Cervantes;The Technomancer;1973-11-18
Griffin Whitney;Tekken 6;2000-08-09
Raphael Meyers;Brothers: A Tale of Two Sons;1959-05-08
Malcolm Hoover;To End All Wars;1963-08-03
Ivor Chambers;Wallace & Gromit's Grand Adventures, Episode 2: The Last Resort;1934-09-19
Demetria Mooney;Beyond Blue;1936-08-23
Veda Kelley;flOw;1974-06-04
Nathan Wong;The Incredible Hulk;2009-06-12
Hammett Mcguire;Gish;2013-06-23
Fulton Oneal;Carrion;1942-06-27
Nyssa Greene;Tokyo Xanadu eX+;1979-06-13
Jamal Shepherd;Cuban Missile Crisis: The Aftermath;1951-05-30
Shaine Parsons;Medal of Honor Frontline;1943-11-01
Maia Fitzpatrick;Command & Conquer 4: Tiberian Twilight;1949-04-14
Fitzgerald Berg;Sword Art Online: Alicization Lycoris;1947-07-01
Samson Gibson;Assassin's Creed II: Bonfire of the Vanities;1908-08-08
Samantha Weaver;Far Cry Instincts Predator;1912-04-17
Halee Jacobson;Fallout 76: Wastelanders;1913-08-10
Raja Mcdowell;God Wars The Complete Legend;2011-03-09
Courtney Porter;Plants vs. Zombies: Battle for Neighborville;1920-12-15
Keane White;FATE;1914-09-19
Gareth Edwards;Top Angler;1936-04-27
Colleen Mcintyre;Halo Wars 2;1924-04-18
Tyrone Sharp;The Lord of the Rings: The Third Age;1966-05-10
Vernon Boyle;The Evil Within;2002-12-02
Sybill Hampton;My Friend Pedro;2013-07-16
Benedict Barrett;Summoner: A Goddess Reborn;1928-05-14
Ariana Stout;Skies of Arcadia Legends;1972-04-12
Sheila Oliver;Assassin's Creed IV: Black Flag;1921-06-02
Thor Vega;Manhunt;1995-11-24
Teagan Combs;World Series of Poker;2017-06-12
Vernon Boyle;Payday: The Heist;1948-03-20
Alyssa Stein;Halo Wars: Definitive Edition;1914-12-08
Denise Larsen;Pokemon Mystery Dungeon: Explorers of Sky;1957-02-05
Daphne Powers;Call of Duty: Black Ops;1936-10-02
Graiden Garrison;Call of Duty: Modern Warfare;1962-02-02
Nola Church;Mortal Shell;2021-08-08
Ila Shepard;NBA Jam: On Fire Edition;1948-03-20
Tatyana Johnson;Naruto: Ultimate Ninja 2;1940-02-28
